common_name,code
Chestnut-backed Chickadee,CBCH
Boreal Chickadee,BOCH
Gray-headed Chickadee,GHCH
Red-breasted Nuthatch,RBNU
Brown Creeper,BRCR
Rock Wren,ROWR
Pacific Wren,PAWR
Marsh Wren,MAWR
American Dipper,AMDI
Golden-crowned Kinglet,GCKI
Ruby-crowned Kinglet,RCKI
Wood Warbler,
Yellow-browed Warbler,
Pallas's Leaf Warbler,
Dusky Warbler,
Willow Warbler,
Common Chiffchaff,
Arctic Warbler,ARWA
Kamchatka Leaf Warbler,
Thick-billed Warbler,
Sedge Warbler,
Blyth's Reed Warbler,
Middendorff's Grasshopper-Warbler,
Lanceolated Warbler,
Eurasian River Warbler,
Gray-streaked Flycatcher,
Dark-sided Flycatcher,
Asian Brown Flycatcher,
Rufous-tailed Robin,
Siberian Blue Robin,
Bluethroat,BLUE
Siberian Rubythroat,
Red-flanked Bluetail,
Narcissus Flycatcher,
Taiga Flycatcher,
Common Redstart,
Siberian Stonechat,
Northern Wheatear,NOWH
Pied Wheatear,
Mountain Bluebird,MOBL
Townsend's Solitaire,TOSO
Varied Thrush,VATH
Veery,VEER
Gray-cheeked Thrush,GCTH
Swainson's Thrush,SWTH
Hermit Thrush,HETH
Wood Thrush,
Redwing,
American Robin,AMRO
Eyebrowed Thrush,
Fieldfare,
Dusky Thrush,
Naumann's Thrush,
Gray Catbird,GRCA
Brown Thrasher,BRTH
Northern Mockingbird,NOMO
European Starling,EUST
Siberian Accentor,
Gray Wagtail,
Eastern Yellow Wagtail,EYWA
White Wagtail,WHWA
Tree Pipit,
Olive-backed Pipit,
Pechora Pipit,
Red-throated Pipit,RTPI
American Pipit,AMPI
Bohemian Waxwing,BOWA
Cedar Waxwing,CEWA
Brambling,
Evening Grosbeak,
Hawfinch,
Common Rosefinch,
Pallas's Rosefinch,
Pine Grosbeak,PIGR
Eurasian Bullfinch,
Asian Rosy-Finch,
Gray-crowned Rosy-Finch,GCRF
House Finch,
Purple Finch,
Cassin's Finch,
Oriental Greenfinch,
Common Redpoll,CORE
Hoary Redpoll,HORE
Redpoll sp.,
Red Crossbill,RECR
White-winged Crossbill,WWCR
Eurasian Siskin,
Pine Siskin,PISI
American Goldfinch,AMGO
Lapland Longspur,LALO
Chestnut-collared Longspur,
Smith's Longspur,SMLO
Snow Bunting,SNBU
McKay's Bunting,MCBU
Pine Bunting,
Yellow-throated Bunting,
Pallas's Bunting,
Reed Bunting,
Yellow-breasted Bunting,
Little Bunting,
Rustic Bunting,
Gray Bunting,
Chipping Sparrow,CHSP
Clay-colored Sparrow,
Brewer's Sparrow,BRSP
Lark Sparrow,
American Tree Sparrow,ATSP
Fox Sparrow,FOSP
Dark-eyed Junco,ORJU
Dark-eyed Junco,SCJU
Dark-eyed Junco,DEJU
White-crowned Sparrow,GWCS
White-crowned Sparrow,WCSP
Golden-crowned Sparrow,GCSP
Harris's Sparrow,
White-throated Sparrow,
Vesper Sparrow,
Savannah Sparrow,SAVS
Song Sparrow,SOSP
Lincoln's Sparrow,LISP
Swamp Sparrow,SWSP
Spotted Towhee,SPTO
Yellow-headed Blackbird,YHBL
Bobolink,BOBO
Western Meadowlark,WEME
Hooded Oriole,HOOR
Bullock's Oriole,BUOR
Red-winged Blackbird,RWBL
Brown-headed Cowbird,BHCO
Rusty Blackbird,RUBL
Brewer's Blackbird,BRBL
Common Grackle,COGR
Ovenbird,OVEN
Northern Waterthrush,NOWA
Black-and-white Warbler,BAWW
Tennessee Warbler,TEWA
Orange-crowned Warbler,OCWA
Nashville Warbler,NAWA
MacGillivray's Warbler,MCWA
Mourning Warbler,
Common Yellowthroat,COYE
American Redstart,AMRE
Cape May Warbler,
Northern Parula,
Magnolia Warbler,MAWA
Canada Warbler,
Bay-breasted Warbler,
Yellow Warbler,YEWA
Chestnut-sided Warbler,
Blackpoll Warbler,BLPW
Black-throated Blue Warbler,
Palm Warbler,PAWA
Yellow-rumped Warbler,MYWA
Yellow-rumped Warbler,AUWA
Yellow-rumped Warbler,YRWA
Yellow-throated Warbler,
Prairie Warbler,
Black-throated Gray Warbler,
Townsend's Warbler,TOWA
Wilson's Warbler,WIWA
Scarlet Tanager,
Western Tanager,WETA
Rose-breasted Grosbeak,RBGR
Black-headed Grosbeak,BHGR
Lazuli Bunting,LABU
Dickcissel,DICK
House Sparrow,HOSP
